idna_subject,checker_type,destination,source,tested_at,session_id
006.free-counter.co.uk,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:36.266103,53dabe2334c2102ecc459dab
007.free-counter.co.uk,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:36.293267,53dabe2334c2102ecc459dab
005.free-counter.co.uk,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:36.301817,53dabe2334c2102ecc459dab
007.go2cloud.org,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:36.332779,53dabe2334c2102ecc459dab
006.free-adult-counters.x-xtra.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:36.392427,53dabe2334c2102ecc459dab
0075-7112-e7eb-f9b9.reporo.net,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:36.868367,53dabe2334c2102ecc459dab
008.free-counter.co.uk,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:36.875942,53dabe2334c2102ecc459dab
011i5.voluumtrk.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:36.889823,53dabe2334c2102ecc459dab
0124498474f7c13ac9a2-6b191446002b31342189d56cabcf5227.r11.cf2.rackcdn.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:36.914786,53dabe2334c2102ecc459dab
00zasdf.pw,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:36.981777,53dabe2334c2102ecc459dab
04fd-74b3-b2f6-c645.reporo.net,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:37.442453,53dabe2334c2102ecc459dab
02gzx.voluumtrk.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:37.567903,53dabe2334c2102ecc459dab
050003.voodoo.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:37.801252,53dabe2334c2102ecc459dab
050005.voodoo.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:37.813704,53dabe2334c2102ecc459dab
05ni7.voluumtrk.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:37.865924,53dabe2334c2102ecc459dab
0602v.voluumtrk.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:37.973772,53dabe2334c2102ecc459dab
06c5-dbbd-eb79-4cd4.reporo.net,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:38.304776,53dabe2334c2102ecc459dab
060810131024.c.mystat-in.net,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:38.319759,53dabe2334c2102ecc459dab
0427d7.se,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:38.455371,53dabe2334c2102ecc459dab
06rph.voluumtrk.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:38.490976,53dabe2334c2102ecc459dab
08.185.87.0.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:38.520790,53dabe2334c2102ecc459dab
08.185.87.00.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:38.927312,53dabe2334c2102ecc459dab
08.185.87.01.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:38.971987,53dabe2334c2102ecc459dab
08.185.87.03.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:39.104651,53dabe2334c2102ecc459dab
08.185.87.04.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:39.142613,53dabe2334c2102ecc459dab
08.185.87.02.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:39.145447,53dabe2334c2102ecc459dab
08.185.87.05.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:39.624585,53dabe2334c2102ecc459dab
08.185.87.06.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:39.666682,53dabe2334c2102ecc459dab
08.185.87.08.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:39.741272,53dabe2334c2102ecc459dab
08.185.87.09.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:39.753192,53dabe2334c2102ecc459dab
08.185.87.07.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:39.764136,53dabe2334c2102ecc459dab
08.185.87.1.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:40.270428,53dabe2334c2102ecc459dab
08.185.87.10.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:40.278535,53dabe2334c2102ecc459dab
08.185.87.100.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:40.404636,53dabe2334c2102ecc459dab
08.185.87.101.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:40.448841,53dabe2334c2102ecc459dab
08.185.87.103.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:40.479721,53dabe2334c2102ecc459dab
08.185.87.105.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:40.879920,53dabe2334c2102ecc459dab
08.185.87.104.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:40.918746,53dabe2334c2102ecc459dab
08.185.87.106.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:41.017092,53dabe2334c2102ecc459dab
08.185.87.107.liveadvert.com,AVAILABILITY,origin.list,origin.list,2022-10-30 14:16:41.063370,53dabe2334c2102ecc459dab
