subject,idna_subject,expiration_date,epoch,registrar
10fbb07a4b0.se,10fbb07a4b0.se,02-aug-2023,1690934400.0,1 Api GmbH
123banners.com,123banners.com,10-apr-2025,1744243200.0,"Network Solutions, LLC"
123counts.com,123counts.com,22-jan-2023,1674345600.0,"DYNADOT, LLC"
123webmarketing.com,123webmarketing.com,21-jan-2025,1737417600.0,"TurnCommerce, Inc. DBA NameBright.com"
12place.com,12place.com,23-mar-2023,1679529600.0,"Name.com, Inc."
14119276be0852.com,14119276be0852.com,31-dec-2022,1672444800.0,"Gransy, s.r.o."
192.com,192.com,12-jun-2024,1718150400.0,123-Reg Limited
1cash.net,1cash.net,27-mar-2023,1679875200.0,"Sav.com, LLC"
1mp.mobi,1mp.mobi,15-apr-2023,1681516800.0,Tucows Domains Inc.
20popup.com,20popup.com,14-may-2023,1684022400.0,"NameSilo, LLC"
247realmedia.com,247realmedia.com,30-oct-2023,1698624000.0,MarkMonitor Inc.
247media.net,247media.net,09-mar-2024,1709942400.0,EASYSPACE LIMITED
24x7adservice.com,24x7adservice.com,19-aug-2023,1692403200.0,"PSI-USA, Inc. dba Domain Robot"
2gtstrk.com,2gtstrk.com,09-aug-2023,1691539200.0,"GoDaddy.com, LLC"
303net.net,303net.net,03-jul-2024,1719964800.0,MarkMonitor Inc.
360popunder.com,360popunder.com,09-aug-2023,1691539200.0,"NameSilo, LLC"
360switch.net,360switch.net,03-oct-2023,1696291200.0,"NameSilo, LLC"
350media.com,350media.com,30-apr-2023,1682812800.0,"Gransy, s.r.o."
32d1d3b9c.se,32d1d3b9c.se,21-dec-2022,1671580800.0,Gandi SAS
3cnce854.com,3cnce854.com,03-dec-2022,1670025600.0,ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED
411affiliates.ca,411affiliates.ca,01-dec-2023,1701388800.0,Webnames.ca Inc.
45i73jv6.com,45i73jv6.com,25-sep-2023,1695600000.0,Atak Domain Bilgi Teknolojileri A.S.
49535.com,49535.com,15-feb-2023,1676419200.0,"DYNADOT, LLC"
4k6k0zj3.com,4k6k0zj3.com,20-mar-2023,1679270400.0,"Alethia Domains, LLC"
4qsurvey.com,4qsurvey.com,27-mar-2023,1679875200.0,"Name.com, Inc."
4seeresults.com,4seeresults.com,13-jul-2023,1689206400.0,"Network Solutions, LLC"
4see.mobi,4see.mobi,21-apr-2027,1808265600.0,"Network Solutions, LLC"
4web.cz,4web.cz,27-oct-2023,1698364800.0,REG-INTERNET-CZ
5staraffiliateprograms.com,5staraffiliateprograms.com,14-jul-2023,1689292800.0,"GoDaddy.com, LLC"
718unlimited.com,718unlimited.com,16-mar-2023,1678924800.0,"GoDaddy.com, LLC"
7adpower.com,7adpower.com,02-oct-2023,1696204800.0,NetEarth One Inc. d/b/a NetEarth
810f3f9dde63ae3.com,810f3f9dde63ae3.com,12-oct-2023,1697068800.0,"NamePal.com #8023, LLC"
8233fa03a40c92d.com,8233fa03a40c92d.com,03-oct-2023,1696291200.0,Gozerdomains.com LLC
7sultans.com,7sultans.com,08-jul-2023,1688774400.0,LEXSYNERGY LIMITED
991.com,991.com,05-dec-2023,1701734400.0,Tucows Domains Inc.
99x.com,99x.com,03-mar-2023,1677801600.0,"eNom, LLC"
a433.com,a433.com,30-sep-2023,1696032000.0,PDR Ltd. d/b/a PublicDomainRegistry.com
a4dtracker.com,a4dtracker.com,22-aug-2023,1692662400.0,ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED
a4dtrk.com,a4dtrk.com,13-mar-2023,1678665600.0,"NameCheap, Inc."
a6ba.com,a6ba.com,08-dec-2023,1701993600.0,"TurnCommerce, Inc. DBA NameBright.com"
aad73c550c.se,aad73c550c.se,02-nov-2022,1667347200.0,1 Api GmbH
aads.us,aads.us,23-jan-2023,1674432000.0,Sav.com LLC
abacidcqfrjju.download,abacidcqfrjju.download,22-jan-2023,1674345600.0,Dynadot LLC
abbp1.pw,abbp1.pw,01-jun-2023,1685577600.0,EuroDNS S.A.
aaotr.com,aaotr.com,04-dec-2022,1670112000.0,"NameCheap, Inc."
abccampaignaudit.co.uk,abccampaignaudit.co.uk,02-dec-2022,1669939200.0,
abcjmp.com,abcjmp.com,29-apr-2023,1682726400.0,"Domain.com, LLC"
abmr.org,abmr.org,07-feb-2023,1675728000.0,"Dynadot, LLC"
aboutads.info,aboutads.info,04-oct-2023,1696377600.0,"Network Solutions, LLC"
abovetrack.com,abovetrack.com,04-dec-2022,1670112000.0,"GoDaddy.com, LLC"
abradora.com,abradora.com,02-jun-2023,1685664000.0,GoDaddy Online Services Cayman Islands Ltd.
accelerator-media.com,accelerator-media.com,30-apr-2023,1682812800.0,DropCatch.com 635 LLC
acestats.com,acestats.com,28-jan-2023,1674864000.0,"GoDaddy.com, LLC"
achmedia.com,achmedia.com,24-nov-2024,1732406400.0,"GoDaddy.com, LLC"
acecounter.com,acecounter.com,10-feb-2024,1707523200.0,"Gabia, Inc."
acim.com,acim.com,05-aug-2023,1691193600.0,"Gabia, Inc."
acotrk.com,acotrk.com,24-aug-2023,1692835200.0,"NameCheap, Inc."
acquinityinteractive.com,acquinityinteractive.com,04-mar-2023,1677888000.0,MAFF Inc.
actionteaser.ru,actionteaser.ru,30-sep-2023,1696032000.0,RU-CENTER-RU
activatesubhrle.download,activatesubhrle.download,22-jan-2023,1674345600.0,Dynadot LLC
activeboard.com,activeboard.com,24-feb-2023,1677196800.0,"GoDaddy.com, LLC"
acxiom.com,acxiom.com,06-aug-2023,1691280000.0,"Network Solutions, LLC"
ad-agent.com,ad-agent.com,30-nov-2024,1732924800.0,Alpine Domains Inc.
ad-blaster.com,ad-blaster.com,01-oct-2023,1696118400.0,ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED
ad-board.com,ad-board.com,07-jan-2025,1736208000.0,Alpine Domains Inc.
ad-brix.com,ad-brix.com,09-apr-2023,1680998400.0,"Gabia, Inc."
ad-clicks.com,ad-clicks.com,09-oct-2023,1696809600.0,"GoDaddy.com, LLC"
acxtrk.com,acxtrk.com,04-aug-2023,1691107200.0,"Network Solutions, LLC"
ad-feeds.com,ad-feeds.com,05-feb-2023,1675555200.0,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA"
ad-flow.com,ad-flow.com,29-sep-2024,1727568000.0,Tucows Domains Inc.
ad-gbn.com,ad-gbn.com,30-apr-2023,1682812800.0,Key-Systems GmbH
